NAME                   VERSION                   TYPE   
basesystem             10.0-4.9.amzn1            rpm     
bash                   4.2.46-20.36.amzn1        rpm     
bzip2-libs             1.0.6-8.12.amzn1          rpm     
ca-certificates        2015.2.6-65.0.1.16.amzn1  rpm     
chardet                2.0.1                     python  
chkconfig              1.3.49.3-2.14.amzn1       rpm     
coreutils              8.22-15.52.amzn1          rpm     
curl                   7.51.0-6.74.amzn1         rpm     
cyrus-sasl-lib         2.1.23-13.16.amzn1        rpm     
db4                    4.7.25-18.11.amzn1        rpm     
db4-utils              4.7.25-18.11.amzn1        rpm     
elfutils-libelf        0.163-3.18.amzn1          rpm     
expat                  2.1.0-10.21.amzn1         rpm     
file-libs              5.22-4.31.amzn1           rpm     
filesystem             2.4.30-3.8.amzn1          rpm     
gawk                   3.1.7-10.10.amzn1         rpm     
gdbm                   1.8.0-36.6.amzn1          rpm     
glib2                  2.36.3-5.18.amzn1         rpm     
glibc                  2.17-157.170.amzn1        rpm     
glibc-common           2.17-157.170.amzn1        rpm     
gmp                    6.0.0-11.16.amzn1         rpm     
gnupg2                 2.0.28-1.30.amzn1         rpm     
gpg-pubkey             21c0f39f-56d0e29a         rpm     
gpgme                  1.4.3-5.15.amzn1          rpm     
grep                   2.20-2.17.amzn1           rpm     
gzip                   1.5-8.18.amzn1            rpm     
info                   5.1-4.10.amzn1            rpm     
iniparse               0.3.1                     python  
keyutils-libs          1.5.8-3.12.amzn1          rpm     
kitchen                1.1.1                     python  
krb5-libs              1.14.1-27.41.amzn1        rpm     
libacl                 2.2.49-6.11.amzn1         rpm     
libassuan              2.0.3-3.3.amzn1           rpm     
libattr                2.4.46-12.10.amzn1        rpm     
libcap                 2.16-5.5.8.amzn1          rpm     
libcom_err             1.42.12-4.40.amzn1        rpm     
libcurl                7.51.0-6.74.amzn1         rpm     
libffi                 3.0.13-16.5.amzn1         rpm     
libgcc48               4.8.3-9.111.amzn1         rpm     
libgcrypt              1.5.3-12.19.amzn1         rpm     
libgpg-error           1.11-1.12.amzn1           rpm     
libicu                 50.1.2-11.12.amzn1        rpm     
libidn2                0.16-1.2.amzn1            rpm     
libpsl                 0.6.2-1.2.amzn1           rpm     
libselinux             2.1.10-3.22.amzn1         rpm     
