NAME                                       VERSION                   TYPE 
@scoped/package                            0.0.0                     npm   
abbrev                                     1.0.5                     npm   
acl                                        2.2.52-2                  deb   
adduser                                    3.113+nmu3                deb   
ansi                                       0.3.0                     npm   
ansi-regex                                 1.1.0                     npm   
ansicolors                                 0.3.2                     npm   
ansistyles                                 0.1.3                     npm   
apt                                        1.0.9.7                   deb   
archy                                      1.0.0                     npm   
asap                                       1.0.0                     npm   
asn1                                       0.1.11                    npm   
assert-plus                                0.1.5                     npm   
async                                      0.9.0                     npm   
async-some                                 1.0.1                     npm   
aws-sign2                                  0.5.0                     npm   
balanced-match                             0.2.0                     npm   
base-files                                 8                         deb   
base-passwd                                3.5.37                    deb   
bash                                       4.3-11+b1                 deb   
beep                                       0.0.0                     npm   
bl                                         0.9.4                     npm   
bla                                        0.0.1                     npm   
block-stream                               0.0.7                     npm   
boom                                       2.6.1                     npm   
brace-expansion                            1.1.0                     npm   
bsdutils                                   1:2.25.2-5                deb   
bundletest                                 1.0.0                     npm   
caseless                                   0.9.0                     npm   
char-spinner                               1.0.1                     npm   
child-process-close                        0.1.1                     npm   
chmodr                                     0.1.0                     npm   
chownr                                     0.0.1                     npm   
clone                                      0.1.19                    npm   
cmd-shim                                   2.0.1                     npm   
columnify                                  1.4.1                     npm   
combined-stream                            0.0.7                     npm   
concat-map                                 0.0.1                     npm   
concat-stream                              1.4.7                     npm   
config-chain                               1.1.8                     npm   
core-util-is                               1.0.1                     npm   
coreutils                                  8.23-4                    deb   
cryptiles                                  2.0.4                     npm   
ctype                                      0.5.3                     npm   
d1                                         1.0.0                     npm   
d2                                         1.0.0                     npm   
dash                                       0.5.7-4+b1                deb   
debconf                                    1.5.56                    deb   
debconf-i18n                               1.5.56                    deb   
debian-archive-keyring                     2014.3                    deb   
debianutils                                4.4+b1                    deb   
debuglog                                   1.0.1                     npm   
dedupe                                     0.0.0                     npm   
defaults                                   1.0.0                     npm   
delayed-stream                             0.0.5                     npm   
dependency                                 0.0.0                     npm   
dev-dep-duplicate                          0.0.0                     npm   
dev-dependency                             0.0.0                     npm   
dezalgo                                    1.0.1                     npm   
diffutils                                  1:3.3-1+b1                deb   
dmsetup                                    2:1.02.90-2.1             deb   
dpkg                                       1.17.24                   deb   
e2fslibs                                   1.42.12-1.1               deb   
e2fsprogs                                  1.42.12-1.1               deb   
editor                                     0.1.0                     npm   
example                                    0.0.0                     npm   
extraneous-detected                        0.0.0                     npm   
extraneous-dev-dep                         0.0.0                     npm   
fast                                       1.2.3                     npm   
findutils                                  4.4.2-9+b1                deb   
forever-agent                              0.5.2                     npm   
form-data                                  0.2.0                     npm   
fs-vacuum                                  1.2.5                     npm   
fs-write-stream-atomic                     1.0.2                     npm   
fstream                                    1.0.4                     npm   
fstream-ignore                             1.0.2                     npm   
fstream-npm                                1.0.1                     npm   
gcc-4.8-base                               4.8.4-1                   deb   
gcc-4.9-base                               4.9.2-10                  deb   
github-url-from-git                        1.4.0                     npm   
github-url-from-username-repo              1.0.2                     npm   
glob                                       4.4.2                     npm   
glorb                                      1.2.3                     npm   
gnupg                                      1.4.18-7                  deb   
gpgv                                       1.4.18-7                  deb   
graceful-fs                                3.0.6                     npm   
grep                                       2.20-4.1                  deb   
gzip                                       1.6-4                     deb   
hawk                                       2.3.1                     npm   
hoek                                       2.11.0                    npm   
hosted-git-info                            1.5.3                     npm   
hostname                                   3.15                      deb   
http-signature                             0.10.1                    npm   
ignore-scripts                             0.0.0                     npm   
ignore-shrinkwrap                          0.0.0                     npm   
inetutils-ping                             2:1.9.2.39.3a460-3        deb   
inflight                                   1.0.4                     npm   
inherits                                   2.0.1                     npm   
ini                                        1.3.3                     npm   
init                                       1.22                      deb   
init-package-json                          1.3.0                     npm   
initscripts                                2.88dsf-58                deb   
insserv                                    1.14.0-5                  deb   
install-at-locally                         0.0.0                     npm   
install-cli                                0.0.1                     npm   
install-cli-production                     0.0.0                     npm   
iproute2                                   3.16.0-2                  deb   
isarray                                    0.0.1                     npm   
isstream                                   0.1.1                     npm   
jju                                        1.2.0                     npm   
json-parse-helpfulerror                    1.0.3                     npm   
json-stringify-safe                        5.0.0                     npm   
libacl1                                    2.2.52-2                  deb   
libapt-pkg4.12                             1.0.9.7                   deb   
libattr1                                   1:2.4.47-2                deb   
libaudit-common                            1:2.4-1                   deb   
libaudit1                                  1:2.4-1+b1                deb   
libblkid1                                  2.25.2-5                  deb   
libbz2-1.0                                 1.0.6-7+b3                deb   
libc-bin                                   2.19-15                   deb   
libc6                                      2.19-15                   deb   
libcap2                                    1:2.24-7                  deb   
libcap2-bin                                1:2.24-7                  deb   
libcomerr2                                 1.42.12-1.1               deb   
libcryptsetup4                             2:1.6.6-5                 deb   
libdb5.3                                   5.3.28-9                  deb   
libdebconfclient0                          0.192                     deb   
libdevmapper1.02.1                         2:1.02.90-2.1             deb   
libffi6                                    3.1-2+b2                  deb   
