NAME                          VERSION                    TYPE   
abbrev                        1.0.9                      npm     
acl                           2.2.52-2                   deb     
adduser                       3.113+nmu3                 deb     
ansi-regex                    2.0.0                      npm     
ansi-styles                   2.2.1                      npm     
ansicolors                    0.3.2                      npm     
ansistyles                    0.1.3                      npm     
aproba                        1.0.4                      npm     
apt                           1.0.9.8.4                  deb     
archy                         1.0.0                      npm     
are-we-there-yet              1.1.2                      npm     
array-index                   1.0.0                      npm     
asap                          2.0.5                      npm     
asn1                          0.2.3                      npm     
assert-plus                   0.2.0                      npm     
assert-plus                   1.0.0                      npm     
asynckit                      0.4.0                      npm     
aws-sign2                     0.6.0                      npm     
aws4                          1.4.1                      npm     
balanced-match                0.4.2                      npm     
base-files                    8+deb8u6                   deb     
base-passwd                   3.5.37                     deb     
bash                          4.3-11+b1                  deb     
bcrypt-pbkdf                  1.0.0                      npm     
bl                            1.1.2                      npm     
block-stream                  0.0.8                      npm     
boom                          2.10.1                     npm     
brace-expansion               1.1.6                      npm     
bsdutils                      1:2.25.2-6                 deb     
buffer-shims                  1.0.0                      npm     
builtin-modules               1.1.1                      npm     
builtins                      0.0.7                      npm     
ca-certificates               20141019+deb8u1            deb     
caseless                      0.11.0                     npm     
chalk                         1.1.3                      npm     
chownr                        1.0.1                      npm     
clone                         1.0.2                      npm     
cmd-shim                      2.0.2                      npm     
code-point-at                 1.0.0                      npm     
columnify                     1.5.4                      npm     
combined-stream               1.0.5                      npm     
commander                     2.9.0                      npm     
concat-map                    0.0.1                      npm     
concat-stream                 1.5.2                      npm     
config-chain                  1.1.11                     npm     
console-control-strings       1.1.0                      npm     
core-util-is                  1.0.2                      npm     
coreutils                     8.23-4                     deb     
cryptiles                     2.0.5                      npm     
curl                          7.38.0-4+deb8u5            deb     
d                             0.1.1                      npm     
dash                          0.5.7-4+b1                 deb     
dashdash                      1.14.0                     npm     
debconf                       1.5.56                     deb     
debconf-i18n                  1.5.56                     deb     
debian-archive-keyring        2014.3                     deb     
debianutils                   4.4+b1                     deb     
debug                         2.2.0                      npm     
debuglog                      1.0.1                      npm     
defaults                      1.0.3                      npm     
delayed-stream                1.0.0                      npm     
delegates                     1.0.0                      npm     
dezalgo                       1.0.3                      npm     
diffutils                     1:3.3-1+b1                 deb     
dmsetup                       2:1.02.90-2.2+deb8u1       deb     
dpkg                          1.17.27                    deb     
e2fslibs                      1.42.12-2                  deb     
e2fsprogs                     1.42.12-2                  deb     
ecc-jsbn                      0.1.1                      npm     
editor                        1.0.0                      npm     
es5-ext                       0.10.12                    npm     
es6-iterator                  2.0.0                      npm     
es6-symbol                    3.1.0                      npm     
escape-string-regexp          1.0.5                      npm     
extend                        3.0.0                      npm     
extsprintf                    1.0.2                      npm     
findutils                     4.4.2-9+b1                 deb     
forever-agent                 0.6.1                      npm     
form-data                     2.0.0                      npm     
fs-vacuum                     1.2.9                      npm     
fs-write-stream-atomic        1.0.8                      npm     
fs.realpath                   1.0.0                      npm     
fstream                       1.0.10                     npm     
fstream-ignore                1.0.5                      npm     
fstream-npm                   1.2.0                      npm     
gauge                         2.6.0                      npm     
gcc-4.8-base                  4.8.4-1                    deb     
gcc-4.9-base                  4.9.2-10                   deb     
generate-function             2.0.0                      npm     
generate-object-property      1.2.0                      npm     
getpass                       0.1.6                      npm     
glob                          6.0.4                      npm     
glob                          7.1.0                      npm     
gnupg                         1.4.18-7+deb8u3            deb     
gpgv                          1.4.18-7+deb8u3            deb     
graceful-fs                   4.1.9                      npm     
graceful-readlink             1.0.1                      npm     
grep                          2.20-4.1                   deb     
gzip                          1.6-4                      deb     
har-validator                 2.0.6                      npm     
has-ansi                      2.0.0                      npm     
has-color                     0.1.7                      npm     
has-unicode                   2.0.1                      npm     
hawk                          3.1.3                      npm     
hoek                          2.16.3                     npm     
hosted-git-info               2.1.5                      npm     
hostname                      3.15                       deb     
http-signature                1.1.1                      npm     
iferr                         0.1.5                      npm     
imurmurhash                   0.1.4                      npm     
inetutils-ping                2:1.9.2.39.3a460-3         deb     
inflight                      1.0.5                      npm     
inherits                      2.0.3                      npm     
ini                           1.3.4                      npm     
init                          1.22                       deb     
init-package-json             1.9.4                      npm     
initscripts                   2.88dsf-59                 deb     
insserv                       1.14.0-5                   deb     
iproute2                      3.16.0-2                   deb     
is-builtin-module             1.0.0                      npm     
is-fullwidth-code-point       1.0.0                      npm     
is-my-json-valid              2.15.0                     npm     
is-property                   1.0.2                      npm     
is-typedarray                 1.0.0                      npm     
isarray                       1.0.0                      npm     
isexe                         1.1.2                      npm     
isstream                      0.1.2                      npm     
jju                           1.3.0                      npm     
