NAME                    VERSION                   TYPE   
adduser                 3.112ubuntu1              deb     
apt                     0.7.25.3ubuntu7           deb     
apt-utils               0.7.25.3ubuntu7           deb     
aptitude                0.4.11.11-1ubuntu10       deb     
base-files              5.0.0ubuntu20             deb     
base-passwd             3.5.22                    deb     
bash                    4.1-2ubuntu3              deb     
bsdutils                1:2.17.2-0ubuntu1         deb     
busybox                 1.13.3                    binary  
busybox-initramfs       1:1.13.3-1ubuntu11        deb     
bzip2                   1.0.5-4                   deb     
console-setup           1.34ubuntu15              deb     
console-terminus        4.30-2                    deb     
coreutils               7.4-2ubuntu2              deb     
cpio                    2.10-1ubuntu2             deb     
dash                    0.5.5.1-3ubuntu2          deb     
debconf                 1.5.28ubuntu4             deb     
debconf-i18n            1.5.28ubuntu4             deb     
debianutils             3.2.2                     deb     
dhcp3-client            3.1.3-2ubuntu3            deb     
dhcp3-common            3.1.3-2ubuntu3            deb     
diffutils               1:2.8.1-18                deb     
dpkg                    1.15.5.6ubuntu4           deb     
e2fslibs                1.41.11-1ubuntu2          deb     
e2fsprogs               1.41.11-1ubuntu2          deb     
eject                   2.1.5+deb1+cvs20081104-7  deb     
findutils               4.4.2-1ubuntu1            deb     
gcc-4.4-base            4.4.3-4ubuntu5            deb     
gnupg                   1.4.10-2ubuntu1           deb     
gpgv                    1.4.10-2ubuntu1           deb     
grep                    2.5.4-4build1             deb     
gzip                    1.3.12-9ubuntu1           deb     
hostname                3.03ubuntu1               deb     
ifupdown                0.6.8ubuntu29             deb     
initramfs-tools         0.92bubuntu78             deb     
initramfs-tools-bin     0.92bubuntu78             deb     
initscripts             2.87dsf-4ubuntu17         deb     
insserv                 1.12.0-14                 deb     
iproute                 20091226-1                deb     
iputils-ping            3:20071127-2ubuntu1       deb     
kbd                     1.15-1ubuntu3             deb     
klibc-utils             1.5.17-4ubuntu1           deb     
less                    436-1                     deb     
libacl1                 2.2.49-2                  deb     
libattr1                1:2.4.44-1                deb     
libblkid1               2.17.2-0ubuntu1           deb     
libbz2-1.0              1.0.5-4                   deb     
libc-bin                2.11.1-0ubuntu7           deb     
libc6                   2.11.1-0ubuntu7           deb     
libcap2                 1:2.17-2ubuntu1           deb     
libcomerr2              1.41.11-1ubuntu2          deb     
libcwidget3             0.5.13-1ubuntu1           deb     
libdb4.8                4.8.24-1ubuntu1           deb     
libdbus-1-3             1.2.16-2ubuntu4           deb     
